"course_id,name,x,y,pathway,specificity,exposure,description,duration,prerequisites,learning_outcomes"
"G3,Applied AI,2.0,-0.3,General,Issue Specific,Never,""Practical AI applications"",12 hours,G2,""Apply AI tools"""
"G4,AI Tools,1.0,0.9,General,Hands-on,Sometimes,""Using AI tools and platforms"",16 hours,G2,""Use AI platforms"""
"G5,Problem Solving,2.0,1.1,General,Issue Specific,Sometimes,""Solving problems with AI"",20 hours,G4,""Solve with AI"""
"G6,AI Applications,2.0,2.1,General,Issue Specific,Daily,""Advanced AI applications"",24 hours,G5,""Build AI solutions"""
"G7,Data Basics,0.3,0.0,General,Ideas,Never,""Data fundamentals for AI"",8 hours,None,""Understand data"""
"G8,ML Concepts,-0.1,1.1,General,Ideas,Sometimes,""Basic machine learning concepts"",12 hours,G1,""Grasp ML basics"""
"G9,AI in Business,0.3,2.1,General,Ideas,Daily,""Business applications of AI"",16 hours,G8,""Apply in business"""
"G10,Practical Projects,1.3,2.1,General,Hands-on,Daily,""Hands-on AI projects"",32 hours,G5,""Complete projects"""
"G11,AI Tools Basics,0.7,-0.3,General,Hands-on,Never,""Introduction to AI tools"",8 hours,G1,""Use basic tools"""
"G12,Industry Cases,1.7,0.1,General,Issue Specific,Never,""AI case studies from industry"",12 hours,G1,""Analyze use cases"""
